bedrooms,bathrooms,floors,waterfront,view,condition,grade,lat,long,month,house_age,is_renovated,has_basement,price_log,sqft_living_log,sqft_lot_log,sqft_living15_log,sqft_lot15_log,sqft_basement_log
3,1,1,0,0,3,7,47.5112,-122.257,10,59,0,0,12.309982108920686,7.07326971745971,8.639410824140487,7.200424892944957,8.639410824140487,0.0
3,2,2,0,0,3,7,47.721,-122.319,12,63,1,1,13.195613839143922,7.851661177889265,8.887652690325586,7.432483807917119,8.94102198354136,5.993961427306569
2,1,1,0,0,3,6,47.7379,-122.233,2,82,0,0,12.100712129872347,6.646390514847729,9.210340371976184,7.908387159290043,8.994916943677111,0.0
4,3,1,0,0,5,7,47.5208,-122.393,12,49,0,1,13.311329476916953,7.580699752224563,8.517193191416238,7.215239978730097,8.517193191416238,6.814542897259958
3,2,1,0,0,3,8,47.6168,-122.045,2,28,0,0,13.142166004700508,7.426549072397305,8.997147151515142,7.495541943884256,8.923058219545728,0.0
4,4,1,0,0,3,11,47.6561,-122.005,5,13,0,1,14.018451401960965,8.597851094433691,11.532041582162458,8.468002947225466,11.532041582162458,7.333676395657684
3,2,2,0,0,3,7,47.3097,-122.327,6,19,0,0,12.458774999085929,7.44716835960004,8.827468112520654,7.71333788887187,8.827468112520654,0.0
3,1,1,0,0,3,7,47.4095,-122.315,1,52,0,0,12.583995250631936,6.966024187106113,9.181014542594355,7.408530566894626,9.181014542594355,0.0
3,1,1,0,0,3,7,47.5123,-122.337,4,55,0,1,12.343658308482738,7.484368643286131,8.918650278126863,7.484368643286131,9.001222992395064,6.594413459749778
3,2,2,0,0,3,7,47.3684,-122.031,3,12,0,0,12.685407602204794,7.5443321080536885,8.788745881938135,7.779048644925556,8.931948346431495,0.0
3,2,1,0,0,3,8,47.6007,-122.145,4,50,0,1,13.403775836842515,8.177515823846075,9.189729418072059,7.700747794511798,9.09661160664784,7.438971592395862
2,1,1,0,0,4,7,47.69,-122.292,5,72,0,1,13.056223574899784,7.05617528410041,8.699514748210191,7.1929342212158,8.699514748210191,5.707110264748875
3,1,1,0,0,4,7,47.7558,-122.229,5,87,0,0,12.644327576461329,7.265429723253953,9.898525260706313,7.484368643286131,9.449121024069791,0.0
3,1,1,0,0,4,7,47.6127,-122.045,10,37,0,0,12.89921982609012,7.222566018822171,9.177817180270623,7.222566018822171,9.23092700558457,0.0
5,2,1,0,0,3,7,47.67,-122.394,3,115,0,0,13.180632285528304,7.501082124259871,8.48673398393153,7.215239978730097,8.48673398393153,0.0
4,3,2,0,3,3,9,47.5714,-122.375,1,36,0,1,13.38472764187182,7.989560449333865,8.517193191416238,7.668561108015897,8.294049640102028,6.878326468291325
3,2,2,0,0,3,7,47.7277,-121.962,7,20,0,0,12.886641043883259,7.5443321080536885,9.549665677579801,7.5443321080536885,9.54809749706027,0.0
4,1,1,0,0,4,7,47.6648,-122.343,5,98,0,0,13.091904169919621,7.3777589082278725,8.366370301681654,7.383989457978509,8.366370301681654,0.0
2,1,1,0,0,4,7,47.3089,-122.21,12,93,0,0,12.14950229404178,7.090076835776092,9.195226734166134,6.966024187106113,8.536014945656826,0.0
3,1,1,0,0,4,7,47.3343,-122.306,4,46,0,0,12.345834587905333,7.1308988302963465,9.1874810778301,7.154615356913663,9.088172738001974,0.0
4,1,1,0,0,4,7,47.7025,-122.341,5,67,0,1,12.86099861326992,7.3901814282264295,8.513185170018698,7.24422751560335,8.513185170018698,6.634633357861686
3,2,1,0,4,3,9,47.5316,-122.233,8,46,0,1,14.508657738524219,8.022896869601457,10.711457836917562,8.32117830749028,9.920147993429236,6.580639137284949
5,2,2,0,0,3,8,47.3266,-122.169,7,19,0,0,12.560244459250788,7.727535110475448,8.748304912379623,7.7142311448490855,8.854379458771108,0.0
2,1,1,0,0,3,7,47.3533,-122.166,5,29,0,0,12.439958293376286,6.975413927455952,9.173987542510384,7.106606137727303,9.034318927730707,0.0
